נאבד,B,6,,
נאבק,B,6,,
נאגר,B,6,B,5
נאזר,B,5,B,6
נאחז,B,6,,
נאטם,B,6,B,5
נאכל,B,6,,
נאלם,B,6,B,5
נאלץ,B,6,B,5
נאמד,B,6,B,5
נאמן,B,6,,
נאמר,B,6,B,5
נאנח,B,11,,
נאנס,B,6,B,5
נאנק,B,6,B,5
נאסף,B,6,B,5
נאסר,B,6,B,5
נאפה,B,30,,
נארג,B,6,B,5
נארז,B,6,B,5
נאשם,B,6,B,5
נבדל,B,1,,
נבדק,B,1,,
נבהל,B,7,,
נבוך,B,18,,
נבזז,B,1,,
נבחן,B,8,,
נבחר,B,7,,
נבחש,B,7,,
נבלם,B,1,,
נבלע,B,9,,
נבנה,B,27,,
נבעת,B,7
נבצר,B,1
נבקע,B,9
נברא,B,23
נגאל,B,7
נגדע,B,9
נגזל,B,1
נגזם,B,1
נגזר,B,1
נגמל,B,1
נגמר,B,1
נגנב,B,1
נגנז,B,1
נגעל,B,7
נגרם,B,1
נגרס,B,1
נגרע,B,9
נגרף,B,1
נגרר,B,1
נדבק,B,1
נדבר,B,1
נדהם,B,7
נדון,B,19
נדחה,B,32
נדחס,B,7
נדחף,B,7
נדחק,B,7
נדלק,B,1
נדמה,B,27
נדפס,B,1
נדפק,B,1
נדקר,B,1
נדרס,B,1,,
נדרש,B,1,,
נהגה,B,30,B,29
נהדף,B,6,B,5
נהנה,B,30,,
נהפך,B,5,B,6
נהרג,B,6,B,5
נהרס,B,6,B,5
נואש,B,16,,
נודע,B,17,,
נוכח,B,17,,
נולד,B,15,,
נוסד,B,15,,
נוסף,B,15,,
נועד,B,16,,
נועץ,B,16,,
נוצר,B,15,,
נורה,B,33,,
נושע,B,17,,
נותר,B,15,,
נזהר,B,7,,
נזכר,B,1,,
נזעק,B,7,,
נזקף,B,1,,
נזקק,B,1,,
נזרע,B,9,,
נזרק,B,1,,
נחבא,B,25,,
נחבט,B,5,,
נחבל,B,5,,
נחבש,B,5,,
נחגר,B,5,B,6
נחטב,B,5,B,6
נחטף,B,5,B,6
נחלב,B,5,B,6
נחלץ,B,5,B,6
נחלק,B,5,B,6
נחלש,B,5,B,6
נחנך,B,5,B,6
נחנק,B,5,B,6
נחסך,B,5,B,6
נחסם,B,5,B,6
נחפז,B,5,,
נחפר,B,5,,
נחצב,B,5,B,6
נחצה,B,29,,
נחקק,B,5,B,6
נחרב,B,6,B,5
נחרד,B,6,B,5
נחרז,B,5,B,6
נחרט,B,5,B,6
נחרך,B,5,B,6
נחרץ,B,6,B,5
נחרש,B,5,B,6
נחשב,B,5,B,6
נחשד,B,5,B,6
נחש'ף,B,5,B,6
נחשק,B,5,B,6
נחתך,B,5,B,6
נחתם,B,5,B,6
נטבח,B,9,,
נטבל,B,1,,
נטחן,B,8,,
נטמא,B,23,,
נטמן,B,3
נטמא,B,9
נטען,B,8
נטפל,B,1
נטרף,B,1
נטרק,B,1
נבא,B,26
נגף,B,12
נגר,B,12
נגש,B,13
נדון,B,21
נזוק,B,20
נזק,B,12
נטל,B,12
נטע,B,12
נטש,B,12
נמול,B,20
נמוק,B,20
נצל,B,12
נש'א,B,26
נתז,B,12
נתך,B,12
נתן,B,14
נתק,B,12
נכבה,B,27
נכבל,B,1
נכבש,B,1
נכוה,B,27
נכון,B,19
נכחד,B,7
נכלא,B,23
נכלל,B,1
נכלם,B,1
נכנס,B,1
נכנע,B,9
נכסף,B,1
נכפה,B,27
נכפל,B,1
נכפת,B,2
נכרה,B,27
נכרך,B,1
נכרת,B,2
נכשל,B,1
נכתב,B,1
נלאה,B,28
נלבש,B,1
נלוה,B,27
נלחם,B,7
נלחץ,B,7
נלחש,B,7
נלטש,B,1
נלכד,B,1
נלמד,B,1
נלעס,B,7
נלקח,B,9
נלקט,B,1
נמאס,B,7
נמדד,B,1
נמהל,B,7
נמוג,B,18
נמוט,B,18
נמזג,B,1
נמחל,B,7
נמחץ,B,7
נמחק,B,7
נמכר,B,1
נמלא,B,23
נמלח,B,9
נמלט,B,1
נמלך,B,1
נמנה,B,27
נמנע,B,9
נמס,B,22
נמסר,B,1
נמעך,B,7
נמען,B,8
נמצא,B,23
נמצץ,B,1
נמק,B,22
נמרח,B,9
נמרט,B,1
נמשה,B,27
נמשח,B,9
נמשך,B,1
נמשל,B,1
נמתח,B,9
ננזף,B,1
ננטש,B,1
ננעל,B,7
ננעץ,B,7
ננקט,B,1
ננשך,B,1
נסגר,B,1
נסדק,B,1
נסוג,B,18
נסחב,B,7
נסחט,B,7
נסחף,B,7
נסחר,B,7
נסלח,B,9
נסלל,B,1
נסער,B,7
נספג,B,1
נספה,B,27
נספח,B,9
נספר,B,1
נסקל,B,1
נסקר,B,1
נסרג,B,1
נסרח,B,9
נסרק,B,1
נסתם,B,1
נסתר,B,1,,
נעבר,B,6,,
נעדר,B,5,B,6
נעזב,B,6,B,5
נעזר,B,6,B,5
נעטף,B,6,B,5
נעכל,B,5,,
מעכר,B,5,B,6
נעלב,B,6,B,5
נעלה,B,31,,
נעלם,B,5,B,6
נעמד,B,6,B,5
נענה,B,31,,
נענש,B,6,B,5
נעצב,B,6,B,5
נעצם,B,6,B,5
נעצר,B,5,B,6
נעקד,B,6,B,5
נעקף,B,6,B,5
נעקץ,B,6,B,5
נעקר,B,6,B,5
נערך,B,6,B,5
נערם,B,6,B,5
נערף,B,6,B,5
נעש'ה,B,31,,
נעשק,B,6,B,5
נעתק,B,5,B,6
נעתר,B,5,B,6
נפגם,B,1,,
נפגע,B,9,,
נפגש,B,1,,
נפדה,B,27,,
נפוץ,B,18
נפטר,B,1
נפלט,B,1
נפנה,B,27
נפסל,B,1
נפסק,B,1
נפעם,B,7
נפער,B,7
נפצע,B,9
נפקד,B,1
נפקח,B,9
נפקע,B,9
נפרד,B,1
נפרט,B,1
נפרם,B,1
נפרס,B,1
נפרע,B,9
נפרץ,B,1
נפרש',B,1
נפרש,B,1
נפתח,B,9
נפתל,B,1
נפתר,B,1
נצבט,B,1
נצבע,B,9
נצבר,B,1
נצלב,B,1
נצלה,B,27
נצמד,B,1
נצרב,B,1
נצרד,B,1
נצרך,B,1
נצרף,B,1
נקבע,B,9
נקבץ,B,1
נקבר,B,1
נקדח,B,9
נקדש,B,1
נקהל,B,7
נקוה,B,27
נקטל,B,1
נקטם,B,1
נקטע,B,9
נקטף,B,1
נקלה,B,27
נקלט,B,1
נקלע,B,9
נקמט,B,1
נקנה,B,27
נקנס,B,1
נקצב,B,1
נקצץ,B,1
נקצר,B,1
נקרא,B,23
נקרה,B,27
נקרע,B,9
נקרש,B,1
נקשר,B,1
נראה,B,28
נרגם,B,4
נרגע,B,10
נרדם,B,4
נרדף,B,4
נרחץ,B,4
נרטב,B,4
נרכס,B,4
נרכש,B,4
נרמז,B,4
נרמס,B,4
נרעד,B,4
נרעש,B,4
נרפא,B,24
נרצח,B,10
נרקב,B,4
נרקח,B,10
נרקם,B,4
נרשם,B,4
נרתם,B,4
נרתע,B,10
נשאב,B,7
נשאל,B,7
נשאף,B,7
נשאר,B,7
נשבה,B,27
נשבע,B,9
נשבר,B,1
נשדד,B,1
נשחט,B,7
נשחק,B,7
נשחת,B,7
נשטף,B,1
נשכב,B,1
נשכח,B,9
נש'כר,B,1
נשלח,B,9
נשלט,B,1
נשלל,B,1
נשלם,B,1
נשלף,B,1
נשמד,B,1
נשמט,B,1
נשמע,B,9
נשמר,B,1
נשנה,B,27
נשען,B,8
נשפד,B,1
נשפט,B,1
נשפך,B,1
נשקל,B,1
נשקף,B,1
נש'רט,B,1
נש'רף,B,1
נשתל,B,1
נתבע,B,9
נתחב,B,7
נתחם,B,7
נתלה,B,27
נתלש,B,1
נתמך,B,1
נתפס,B,1
נתפר,B,1
נתקל,B,1
נתקע,B,9
נתקף,B,1
נתרם,B,1
